TIER,PLAYER,TEAM/HS,COMMITMENT,OFFENSIVE ROLE,DEFENSIVE ROLE,HEIGHT,RIVALS,247,PREP,ESPN,MADE,EBY,CONSENSUS,INDUSTRY PRO,EBY DIFF INDUSTRY
4,Jason Crowe Jr. ,Inglewood ,Missouri,Primary Initiator,Low Activity,"6'2""",18,3,12,4,12,21,11.7,9.8,-11.75
4,Alex Constanza,SPIRE Academy,Georgetown,Scoring Wing,???,"6'8""",16,22,19,28,53,22,26.7,27.6,7.75
4,JJ Andrews,Little Rock Christian ,Arkansas,Slasher,Perimeter Stopper,"6'6""",29,11,20,11,16,23,18.3,17.4,-6.25
4,Diego Niebla,Joventut (ESP),?,Off-Ball Wing,Chaser,"6'7""",,,,,,24,24.0,,
4,Matthys Mahop,INSEP (FRA),?,Primary Ball Handler,Point-of-Attack,"6'4""",,,,,47,25,36.0,47,-13.25
4,Darius Ratliff,Archbishop Stepanic,USC,Play Finishing Big,Rim Protector,"7'0""",13,43,26,26,27,26,26.8,27,1.25
4,Austin Goosby,Dynamic Prep,Texas,Combo Wing,Perimeter Disruptor,"6'5""",52,19,29,23,21,27,28.5,28.8,1.75
4,Toni Bryant,Zephyrhills ,Missouri,Play Finishing Forward,Rim Protector,"6'10""",39,23,32,14,49,28,30.8,31.4,3.25
5,Junior County,Wasatch Academy,UConn,Combo Guard,Perimeter Stopper,"6'4""",63,29,33,37,31,29,37.0,38.6,11
5,Maximo Adams,Sierra Canyon ,UNC,Scoring Forward,Helper,"6'6""",19,25,28,25,23,30,25.0,24,-7
5,Mathias Vazquez,Overtime Elite (BRA),?,Combo Wing,Perimeter Stopper,"6'7""",,,,,46,31,38.5,46,-19.5
5,Diego Garavaglia,Ratiopharm Ulm (ITA),?,Connector Wing,Perimeter Disruptor,"6'6""",,,,,26,32,32.0,,
5,Jaxon Richardson,Southeastern Prep,?,Slasher,Perimeter Disruptor,"6'6""",54,20,18,15,22,33,27.0,25.8,-5.25
5,Caleb Gaskins,Columbus ,Miami,Slasher,Perimeter Stopper,"6'7""",5,24,13,13,11,34,16.7,13.2,-20.75
5,Luca Foster,Link Academy,Gonzaga,Combo Wing,Chaser,"6'5""",46,40,37,45,50,35,42.2,43.6,10.25
5,Cameron Houdino,Cedevita Olimpija (FRA),?,Play Finishing Big,Versatile Big,"6'9""",,,,,44,36,40.0,44,-25
5,Ethan Taylor,Link Academy,Michigan St.,Play Finishing Big,Rim Protector,"7'1""",22,28,17,44,33,37,30.2,28.8,-5.25
5,Miikka Muurinen,Partizan (FIN),?,Play Finishing Big,???,"6'11""",,15,,,54,38,35.7,34.5,-20.75
5,Bo Ogden,Westlake,Texas,Movement Shooter,???,"6'5""",37,33,24,43,41,39,36.2,35.6,-0.5
5,Cole Cloer,IMG Academy,NC State,Movement Shooter,???,"6'7""",55,27,27,24,42,40,35.8,35,-3
5,Miles Sadler,Bella Vista Prep (CAN),West Virginia,Primary Initiator,Point-of-Attack,"5'11""",24,41,25,21,25,41,29.5,27.2,-13.25
5,Cameron Holmes,Millenium,Arizona,Scoring Wing,???,"6'8""",61,30,39,38,29,42,39.8,39.4,-2.5
5,Ilia Frolov,Real Madrid (RUS),?,Skilled Big ,Paint Prescence,"6'10""",,,,,,43,43.0,,
5,Tajh Ariza,Link Academy,Oregon,Slasher,Perimeter Stopper,"6'7""",20,14,14,30,24,44,24.3,20.4,-22
5,Ralph Scott,IMG Academy,Tennessee,Play Finishing Forward,Helper,"6'8""",42,35,59,54,38,45,45.5,45.6,-2.75
5,Davion Adkins,Prolific Prep,Kansas,Play Finishing Big,Versatile Big,"6'9""",28,34,23,56,28,46,35.8,33.8,-9.5
5,Abdou Toure,Notre Dame (GIN),Arkansas,Scoring Guard,Perimeter Stopper,"6'4""",30,37,36,34,34,47,36.3,34.2,-13.25
5,Egor Amosov,Real Madrid (RUS),?,Connector Wing,???,"6'8""",,,,,,48,48.0,,
